Month,Category,Region,Sales ($),Profit ($),Units Sold
Jun,Cosmetics,East,5691,950,76
Jul,Cosmetics,South,9839,2880,103
Mar,Toys,West,1124,1829,138
Dec,Clothing,South,6097,1544,68
Oct,Sports,East,5807,1469,124
Mar,Electronics,East,2970,2048,125
May,Toys,North,3762,2216,56
Jun,Clothing,North,6517,2947,118
Sep,Electronics,West,1814,457,27
Dec,Clothing,South,4101,1811,122
May,Toys,South,2654,1509,42
Jan,Electronics,East,1131,424,152
Apr,Toys,East,9422,850,33
May,Clothing,West,1394,355,45
Dec,Cosmetics,North,8319,2566,69
Oct,Furniture,East,4573,2358,171
Oct,Cosmetics,South,8106,1010,99
May,Toys,East,6625,683,60
Jul,Toys,North,5628,676,177
Apr,Toys,South,6060,2313,159
Jan,Electronics,North,8747,2361,153
May,Sports,West,7269,2676,113
Jul,Toys,West,7632,1971,179
Oct,Cosmetics,North,7755,1252,25
Oct,Furniture,South,7589,2150,142
Jun,Toys,North,6589,994,143
May,Toys,East,3504,1883,179
Apr,Toys,East,4033,1193,39
Feb,Electronics,North,9903,2199,169
Apr,Toys,East,3976,536,190
Oct,Cosmetics,North,2471,1121,156
Oct,Clothing,East,7595,2241,60
Mar,Sports,North,2142,2734,165
Oct,Toys,East,3568,2750,184
Jan,Electronics,South,2608,2233,81
Aug,Cosmetics,South,6552,617,137
May,Toys,East,2897,841,116
Apr,Electronics,North,3192,2124,136
Aug,Clothing,East,2091,2577,138
Jul,Furniture,West,1699,962,194
Feb,Toys,West,5092,2141,159
Jan,Cosmetics,North,3178,2976,103
Dec,Electronics,East,1732,142,67
Nov,Electronics,East,9704,1947,22
Apr,Toys,South,3687,1833,176
Aug,Electronics,North,4756,503,36
Dec,Furniture,West,7061,1426,176
Feb,Electronics,West,9623,1305,130
Mar,Sports,North,7534,2316,149
Dec,Sports,West,6385,2350,161
Jan,Electronics,North,5494,2853,27
Jan,Toys,West,9999,2690,128
Mar,Sports,West,2279,2249,24
Nov,Cosmetics,North,7538,1699,197
May,Sports,North,3221,2493,153
Dec,Electronics,West,6164,2750,106
Mar,Toys,West,1854,541,83
Jan,Clothing,South,4212,349,56
Jan,Toys,East,3586,977,161
Aug,Toys,North,5840,1986,182
Oct,Toys,North,3768,1403,28
Nov,Cosmetics,East,8228,1840,100
Dec,Furniture,South,4340,1212,178
Dec,Electronics,West,6259,2044,40
Feb,Furniture,West,7740,2818,25
Mar,Clothing,South,1275,1998,160
Feb,Furniture,South,8198,2122,87
Mar,Electronics,East,4863,347,32
Jul,Electronics,East,1714,2799,50
Jan,Clothing,West,7054,2238,155
Oct,Electronics,South,1809,667,173
Aug,Clothing,South,4726,1969,21
Oct,Clothing,West,4978,1962,84
Oct,Electronics,West,1036,1288,188
Oct,Sports,West,9114,2695,94
Feb,Clothing,West,9646,1453,169
Mar,Electronics,West,4308,2227,80
Sep,Sports,East,3655,1033,173
Jul,Clothing,West,1981,1080,177
Apr,Sports,South,7447,969,135
Oct,Cosmetics,North,1151,268,79
May,Toys,East,9791,2771,175
Feb,Cosmetics,South,6648,478,191
Nov,Sports,North,2511,1332,13
Aug,Clothing,East,3258,2032,183
Apr,Electronics,West,1231,2025,72
Sep,Furniture,East,3742,293,59
May,Electronics,West,8841,363,39
Sep,Furniture,West,5462,1370,25
Apr,Furniture,West,8749,1753,189
Oct,Clothing,North,1571,1571,13
May,Sports,East,2202,2115,35
Sep,Electronics,West,7609,1863,166
Aug,Sports,South,1170,620,148
Mar,Cosmetics,East,6151,1018,101
Jan,Clothing,South,7406,2626,117
Mar,Clothing,North,1188,1400,161
Apr,Cosmetics,North,5678,673,60
Feb,Electronics,East,8145,1637,51
Jan,Toys,North,6927,1483,176
Jul,Cosmetics,North,1599,2990,144
Aug,Electronics,East,6301,1480,27
Jul,Furniture,South,4576,1623,12
May,Clothing,West,6193,995,29
Dec,Electronics,East,2870,1206,107
Jan,Sports,East,5261,616,82
Jul,Sports,West,3024,1123,83
Jul,Clothing,South,6494,995,132
Sep,Cosmetics,West,9832,564,79
Mar,Toys,West,6453,1710,154
Sep,Cosmetics,South,2827,712,88
Jan,Electronics,South,5702,704,196
Jan,Cosmetics,West,1539,1754,191
Apr,Clothing,West,8202,720,150
Sep,Electronics,East,5438,2702,51
Jun,Furniture,South,4501,2283,53
Nov,Cosmetics,North,4537,2477,89
Mar,Cosmetics,South,7716,2542,76
Jan,Toys,West,7818,255,29
Apr,Electronics,West,7200,2685,56
Dec,Sports,West,5286,2815,33
Sep,Cosmetics,West,5739,343,188
Mar,Clothing,North,3089,2694,155
Dec,Cosmetics,South,6605,549,32
Sep,Toys,North,8340,2425,138
Jul,Furniture,North,7822,853,132
Dec,Toys,West,4321,505,124
Apr,Cosmetics,North,3549,2918,75
Mar,Sports,West,2216,1169,142
Oct,Cosmetics,West,5885,848,27
May,Electronics,West,7893,2919,126
May,Cosmetics,North,9933,1394,44
Mar,Sports,West,7308,1679,162
Dec,Electronics,North,6082,2385,115
Sep,Clothing,South,8225,2135,161
Apr,Electronics,West,8430,1290,150
Nov,Toys,East,9839,1499,158
May,Furniture,East,3797,2348,48
Apr,Toys,East,1818,2893,171
May,Electronics,East,9434,2379,156
Jul,Clothing,East,7806,823,165
Sep,Cosmetics,North,8001,1541,100
Jul,Electronics,South,8926,1277,123
May,Toys,North,5104,824,148
Oct,Electronics,West,9046,186,186
Oct,Electronics,South,1012,2850,44
Jul,Electronics,South,6894,2967,93
Oct,Clothing,South,8050,153,85
May,Sports,South,4017,1851,66
Mar,Sports,East,8392,1165,37
Jul,Electronics,West,1689,1353,75
Nov,Clothing,South,6878,841,74
Nov,Clothing,South,4138,2841,159
Feb,Electronics,East,8976,2583,60
Dec,Toys,North,9868,1972,100
Sep,Toys,North,7327,2741,146
Oct,Furniture,North,5303,2589,173
Oct,Electronics,West,2002,2314,191
Dec,Furniture,North,8408,2046,175
Jan,Toys,South,9142,2713,75
Jun,Toys,East,2765,1586,180
Jul,Electronics,East,6778,172,142
Aug,Furniture,North,3291,824,90
Oct,Furniture,East,8730,369,174
Sep,Electronics,South,5866,318,195
Feb,Furniture,North,9429,646,72
Nov,Cosmetics,South,7453,1201,108
Oct,Toys,West,2584,2455,60
Feb,Sports,South,2307,1888,81
May,Clothing,South,3085,2068,52
May,Furniture,South,1031,2027,76
Jun,Furniture,South,8720,520,74
Mar,Clothing,West,1291,1359,71
Aug,Furniture,North,4686,1957,167
Jan,Clothing,South,2642,2996,99
Jun,Electronics,North,8766,2609,175
Apr,Cosmetics,East,9769,684,113
Jan,Cosmetics,South,4909,1662,60
Jul,Toys,South,2223,2185,116
Sep,Sports,East,9638,1889,47
Apr,Furniture,North,5373,2573,76
Apr,Sports,West,3579,1992,86
Jun,Electronics,South,2422,2581,109
Dec,Cosmetics,East,8558,304,114
Mar,Electronics,East,7745,2852,57
Dec,Electronics,South,3609,841,149
Jun,Furniture,North,4081,1304,29
Jul,Electronics,North,7734,2187,112
Nov,Cosmetics,South,9250,2988,81
Oct,Sports,East,9650,267,126
Oct,Cosmetics,South,1103,741,120
Mar,Furniture,West,5926,1205,139
Jul,Cosmetics,West,9980,2834,129
Mar,Clothing,North,1741,1923,192
Feb,Sports,West,7444,2747,143
Dec,Clothing,East,5723,201,92
Oct,Clothing,West,8659,2907,137
Apr,Toys,South,6203,2865,117
Dec,Furniture,East,3976,188,199
Aug,Electronics,North,8426,2492,186
Sep,Clothing,North,7503,2947,93
Jul,Cosmetics,West,9619,2046,191
Jan,Electronics,North,7486,707,147
Mar,Cosmetics,South,7490,2306,161
Dec,Cosmetics,East,2944,2683,166
Sep,Electronics,South,7239,2310,128
Dec,Electronics,South,8422,385,103
Jan,Cosmetics,South,6973,964,118
Sep,Furniture,South,6521,154,143
Aug,Sports,East,1411,675,195
Jan,Toys,East,7090,2180,87
Jun,Sports,South,1246,657,194
May,Furniture,South,7842,830,140
Jun,Toys,North,7564,1092,33
Oct,Electronics,North,3171,900,156
Dec,Toys,East,8278,295,18
May,Cosmetics,North,8457,547,167
Jun,Sports,East,6718,1921,105
May,Toys,East,3060,1714,86
Nov,Cosmetics,West,4334,191,91
Dec,Furniture,East,8190,707,181
May,Toys,North,1944,1351,190
Apr,Cosmetics,West,6361,385,95
Mar,Furniture,North,6284,201,69
Mar,Electronics,East,7881,239,160
Apr,Furniture,East,9367,934,70
Sep,Furniture,South,8940,1778,144
Feb,Sports,East,1333,2413,181
Sep,Cosmetics,West,3945,2720,192
Jan,Toys,East,5780,634,84
Jan,Sports,South,5656,2670,48
May,Clothing,East,3665,115,131
Jun,Furniture,East,8131,660,196
Jun,Clothing,East,5935,2483,115
Mar,Sports,South,1415,1009,107
Jul,Cosmetics,North,1707,1513,142
Sep,Sports,East,8788,2317,179
Nov,Cosmetics,West,3684,1012,101
Dec,Cosmetics,South,8494,218,23
Oct,Electronics,West,4366,2157,164
Aug,Furniture,East,4503,2577,25
Jun,Sports,South,5442,1591,139
Dec,Cosmetics,East,7180,2196,156
Aug,Sports,West,3559,2354,160
Dec,Sports,South,9137,613,178
May,Cosmetics,North,4971,2107,23
Aug,Toys,North,3957,1333,184
Oct,Clothing,North,7916,1262,72
Dec,Furniture,East,2729,136,17
Apr,Furniture,South,1026,2365,36
Oct,Toys,West,3583,1579,120
Aug,Electronics,West,4055,1635,49
Oct,Toys,East,7801,2327,165
Dec,Electronics,East,2658,1640,77
Feb,Electronics,West,4951,229,132
Dec,Toys,South,8299,2758,70
Dec,Furniture,East,8456,1871,175
May,Clothing,South,5137,2806,137
Sep,Furniture,West,8931,458,117
Apr,Furniture,South,2714,2774,161
Nov,Furniture,North,4331,1722,165
Jun,Toys,West,4347,1681,178
Jan,Toys,North,2986,1277,155
Sep,Toys,West,4544,605,58
